,country,athlete_name,sport_name,event_name,medal_type
5,France,MERTINE Julien,Fencing;FEN;,Men's Foil Team,Gold Medal
6,France,PAUTY Maxime,Fencing;FEN;,Men's Foil Team,Gold Medal
7,Republic of Korea,GU Bongil,Fencing;FEN;,Men's Sabre Team,Gold Medal
8,Republic of Korea,KIM Junghwan,Fencing;FEN;,Men's Sabre Team,Gold Medal
9,Republic of Korea,KIM Junho,Fencing;FEN;,Men's Sabre Team,Gold Medal
10,Republic of Korea,OH Sanguk,Fencing;FEN;,Men's Sabre Team,Gold Medal
11,People's Republic of China,SUN Yiwen,Fencing;FEN;,Women's Épée Individual,Gold Medal
12,United States of America,KIEFER Lee,Fencing;FEN;,Women's Foil Individual,Gold Medal
13,ROC,POZDNIAKOVA Sofia,Fencing;FEN;,Women's Sabre Individual,Gold Medal
14,Estonia,BELJAJEVA Julia,Fencing;FEN;,Women's Épée Team,Gold Medal
15,Estonia,EMBRICH Irina,Fencing;FEN;,Women's Épée Team,Gold Medal
16,Estonia,KIRPU Erika,Fencing;FEN;,Women's Épée Team,Gold Medal
17,Estonia,LEHIS Katrina,Fencing;FEN;,Women's Épée Team,Gold Medal
18,ROC,DERIGLAZOVA Inna,Fencing;FEN;,Women's Foil Team,Gold Medal
19,ROC,KOROBEYNIKOVA Larisa,Fencing;FEN;,Women's Foil Team,Gold Medal
0,ROC,MARTYANOVA Marta,Fencing;FEN;,Women's Foil Team,Gold Medal
1,ROC,ZAGIDULLINA Adelina,Fencing;FEN;,Women's Foil Team,Gold Medal
2,ROC,NIKITINA Olga,Fencing;FEN;,Women's Sabre Team,Gold Medal
3,ROC,POZDNIAKOVA Sofia,Fencing;FEN;,Women's Sabre Team,Gold Medal
4,ROC,VELIKAYA Sofya,Fencing;FEN;,Women's Sabre Team,Gold Medal
5,Brazil,ABNER,Football;FBL;,Men,Gold Medal
6,Brazil,ALVES Dani,Football;FBL;,Men,Gold Medal
7,Brazil,ANTONY,Football;FBL;,Men,Gold Medal
8,Brazil,ARANA Guilherme,Football;FBL;,Men,Gold Medal
9,Brazil,BRENNO,Football;FBL;,Men,Gold Medal
10,Brazil,CLAUDINHO,Football;FBL;,Men,Gold Medal
11,Brazil,CUNHA Matheus,Football;FBL;,Men,Gold Medal
12,Brazil,DIEGO CARLOS,Football;FBL;,Men,Gold Medal
13,Brazil,DOUGLAS LUIZ,Football;FBL;,Men,Gold Medal
14,Brazil,FUCHS Bruno,Football;FBL;,Men,Gold Medal
15,Brazil,GRACA Ricardo,Football;FBL;,Men,Gold Medal
16,Brazil,GUIMARAES Bruno,Football;FBL;,Men,Gold Medal
17,Brazil,LUCAO,Football;FBL;,Men,Gold Medal
18,Brazil,MALCOM,Football;FBL;,Men,Gold Medal
19,Brazil,MARTINELLI Gabriel,Football;FBL;,Men,Gold Medal
0,Brazil,MATHEUS HENRIQUE,Football;FBL;,Men,Gold Medal
1,Brazil,MENINO Gabriel,Football;FBL;,Men,Gold Medal
2,Brazil,NINO,Football;FBL;,Men,Gold Medal
3,Brazil,PAULINHO,Football;FBL;,Men,Gold Medal
4,Brazil,REINIER,Football;FBL;,Men,Gold Medal
5,Brazil,RICHARLISON,Football;FBL;,Men,Gold Medal
6,Brazil,SANTOS,Football;FBL;,Men,Gold Medal
7,Canada,BECKIE Janine,Football;FBL;,Women,Gold Medal
8,Canada,BUCHANAN Kadeisha,Football;FBL;,Women,Gold Medal
9,Canada,CARLE Gabrielle,Football;FBL;,Women,Gold Medal
10,Canada,CHAPMAN Allysha,Football;FBL;,Women,Gold Medal
11,Canada,FLEMING Jessie,Football;FBL;,Women,Gold Medal
12,Canada,GILLES Vanessa,Football;FBL;,Women,Gold Medal
13,Canada,GROSSO Julia,Football;FBL;,Women,Gold Medal
14,Canada,HUITEMA Jordyn,Football;FBL;,Women,Gold Medal
15,Canada,LABBE Stephanie,Football;FBL;,Women,Gold Medal
16,Canada,LAWRENCE Ashley,Football;FBL;,Women,Gold Medal
17,Canada,LEON Adriana,Football;FBL;,Women,Gold Medal
18,Canada,McLEOD Erin,Football;FBL;,Women,Gold Medal
19,Canada,PRINCE Nichelle,Football;FBL;,Women,Gold Medal
0,Canada,QUINN,Football;FBL;,Women,Gold Medal
1,Canada,RIVIERE Jayde,Football;FBL;,Women,Gold Medal
2,Canada,ROSE Deanne,Football;FBL;,Women,Gold Medal
3,Canada,SCHMIDT Sophie,Football;FBL;,Women,Gold Medal
4,Canada,SCOTT Desiree,Football;FBL;,Women,Gold Medal
5,Canada,SHERIDAN Kailen,Football;FBL;,Women,Gold Medal
6,Canada,SINCLAIR Christine,Football;FBL;,Women,Gold Medal
7,Canada,VIENS Evelyne,Football;FBL;,Women,Gold Medal
8,Canada,ZADORSKY Shelina,Football;FBL;,Women,Gold Medal
9,United States of America,SCHAUFFELE Xander,Golf;GLF;,Men's Individual Stroke Play,Gold Medal
10,United States of America,KORDA Nelly,Golf;GLF;,Women's Individual Stroke Play,Gold Medal
11,France,ABALO Luc,Handball;HBL;,Men,Gold Medal
12,France,DESCAT Hugo,Handball;HBL;,Men,Gold Medal
13,France,FABREGAS Ludovic,Handball;HBL;,Men,Gold Medal
14,France,GENTY Yann,Handball;HBL;,Men,Gold Medal
15,France,GERARD Vincent,Handball;HBL;,Men,Gold Medal
16,France,GUIGOU Michael,Handball;HBL;,Men,Gold Medal
17,France,KARABATIC Luka,Handball;HBL;,Men,Gold Medal
18,France,KARABATIC Nikola,Handball;HBL;,Men,Gold Medal
19,France,LAGARDE Romain,Handball;HBL;,Men,Gold Medal
0,France,MAHE Kentin,Handball;HBL;,Men,Gold Medal
1,France,MEM Dika,Handball;HBL;,Men,Gold Medal
2,France,NGUESSAN Timothey,Handball;HBL;,Men,Gold Medal
3,France,PORTE Valentin,Handball;HBL;,Men,Gold Medal
4,France,REMILI Nedim,Handball;HBL;,Men,Gold Medal
5,France,RICHARDSON Melvyn,Handball;HBL;,Men,Gold Medal
6,France,TOURNAT Nicolas,Handball;HBL;,Men,Gold Medal
7,France,COATANEA Pauline,Handball;HBL;,Women,Gold Medal
8,France,DANCETTE Blandine,Handball;HBL;,Women,Gold Medal
9,France,DARLEUX Cleopatre,Handball;HBL;,Women,Gold Medal
10,France,EDWIGE Beatrice,Handball;HBL;,Women,Gold Medal
11,France,FLIPPES Laura,Handball;HBL;,Women,Gold Medal
12,France,FOPPA Pauletta,Handball;HBL;,Women,Gold Medal
13,France,LACRABERE Alexandra,Handball;HBL;,Women,Gold Medal
14,France,LASSOURCE Coralie,Handball;HBL;,Women,Gold Medal
15,France,LEYNAUD Amandine,Handball;HBL;,Women,Gold Medal
16,France,NIAKATE Kalidiatou,Handball;HBL;,Women,Gold Medal
17,France,NOCANDY Meline,Handball;HBL;,Women,Gold Medal
18,France,NZE MINKO Estelle,Handball;HBL;,Women,Gold Medal
19,France,PINEAU Allison,Handball;HBL;,Women,Gold Medal
0,France,SERCIEN UGOLIN Oceane,Handball;HBL;,Women,Gold Medal
1,France,VALENTINI Chloe,Handball;HBL;,Women,Gold Medal
2,France,ZAADI DEUNA Grace,Handball;HBL;,Women,Gold Medal
3,Belgium,BOCCARD Gauthier,Hockey;HOC;,Men,Gold Medal
4,Belgium,BOON Tom Alain,Hockey;HOC;,Men,Gold Medal
5,Belgium,BRIELS Thomas,Hockey;HOC;,Men,Gold Medal
6,Belgium,CHARLIER Cedric Daniel Andre,Hockey;HOC;,Men,Gold Medal
7,Belgium,de KERPEL Nicolas,Hockey;HOC;,Men,Gold Medal
8,Belgium,de SLOOVER Arthur Anne-Marie Thierr,Hockey;HOC;,Men,Gold Medal
9,Belgium,DENAYER Felix Veronique B.,Hockey;HOC;,Men,Gold Medal
10,Belgium,DOCKIER Sebastien,Hockey;HOC;,Men,Gold Medal
11,Belgium,DOHMEN John-John Dominique M,Hockey;HOC;,Men,Gold Medal
12,Belgium,GOUGNARD Simon Pierre F,Hockey;HOC;,Men,Gold Medal
13,Belgium,HENDRICKX Alexander Robby P,Hockey;HOC;,Men,Gold Medal
14,Belgium,KINA Antoine Sylvain T,Hockey;HOC;,Men,Gold Medal
15,Belgium,LUYPAERT Loick Fanny A,Hockey;HOC;,Men,Gold Medal
16,Belgium,MEURMANS Augustin Jean J,Hockey;HOC;,Men,Gold Medal
17,Belgium,van AUBEL Florent,Hockey;HOC;,Men,Gold Medal
18,Belgium,van DOREN Arthur,Hockey;HOC;,Men,Gold Medal
19,Belgium,VANASCH Vincent,Hockey;HOC;,Men,Gold Medal
0,Belgium,WEGNEZ Victor Nicky B,Hockey;HOC;,Men,Gold Medal
1,Netherlands,ALBERS Felice,Hockey;HOC;,Women,Gold Medal
2,Netherlands,de GOEDE Eva Roma Maria,Hockey;HOC;,Women,Gold Medal
3,Netherlands,de WAARD Xan Gerdien,Hockey;HOC;,Women,Gold Medal
4,Netherlands,KEETELS Marloes Johanna Maria,Hockey;HOC;,Women,Gold Medal
5,Netherlands,KONING Josine,Hockey;HOC;,Women,Gold Medal
6,Netherlands,KOOLEN Sanne Anne Leonie,Hockey;HOC;,Women,Gold Medal
7,Netherlands,LEURINK Laurien,Hockey;HOC;,Women,Gold Medal
8,Netherlands,MATLA Frederique,Hockey;HOC;,Women,Gold Medal
9,Netherlands,NUNNINK Laura Maria,Hockey;HOC;,Women,Gold Medal
10,Netherlands,PHENINCKX Malou,Hockey;HOC;,Women,Gold Medal
11,Netherlands,SANDERS Pien,Hockey;HOC;,Women,Gold Medal
12,Netherlands,STAM Lauren Lara Jeanette,Hockey;HOC;,Women,Gold Medal
13,Netherlands,van GEFFEN Margot,Hockey;HOC;,Women,Gold Medal
14,Netherlands,van MAASAKKER Caia Jacqueline,Hockey;HOC;,Women,Gold Medal
15,Netherlands,VERSCHOOR Maria,Hockey;HOC;,Women,Gold Medal
16,Netherlands,WELTEN Lidewij Marsia Maria,Hockey;HOC;,Women,Gold Medal
17,Japan,WOLF Aaron,Judo;JUD;,Men -100 kg,Gold Medal
18,Japan,TAKATO Naohisa,Judo;JUD;,Men -60 kg,Gold Medal
19,Japan,ABE Hifumi,Judo;JUD;,Men -66 kg,Gold Medal
0,Japan,ONO Shohei,Judo;JUD;,Men -73 kg,Gold Medal
1,Japan,NAGASE Takanori,Judo;JUD;,Men -81 kg,Gold Medal
2,Georgia,BEKAURI Lasha,Judo;JUD;,Men -90 kg,Gold Medal
3,Czech Republic,KRPALEK Lukas,Judo;JUD;,Men +100 kg,Gold Medal
4,Kosovo,KRASNIQI Distria,Judo;JUD;,Women -48 kg,Gold Medal
5,Japan,ABE Uta,Judo;JUD;,Women -52 kg,Gold Medal
6,Kosovo,GJAKOVA Nora,Judo;JUD;,Women -57 kg,Gold Medal
7,France,AGBEGNENOU Clarisse,Judo;JUD;,Women -63 kg,Gold Medal
8,Japan,ARAI Chizuru,Judo;JUD;,Women -70 kg,Gold Medal
9,Japan,HAMADA Shori,Judo;JUD;,Women -78 kg,Gold Medal
10,Japan,SONE Akira,Judo;JUD;,Women +78 kg,Gold Medal
11,France,AGBEGNENOU Clarisse,Judo;JUD;,Mixed Team,Gold Medal
12,France,BUCHARD Amandine,Judo;JUD;,Mixed Team,Gold Medal
13,France,CHAINE Guillaume,Judo;JUD;,Mixed Team,Gold Medal
14,France,CLERGET Axel,Judo;JUD;,Mixed Team,Gold Medal
15,France,CYSIQUE Sarah Leonie,Judo;JUD;,Mixed Team,Gold Medal
16,France,DICKO Romane,Judo;JUD;,Mixed Team,Gold Medal
17,France,IDDIR Alexandre,Judo;JUD;,Mixed Team,Gold Medal
18,France,le BLOUCH Kilian,Judo;JUD;,Mixed Team,Gold Medal
19,France,MALONGA Madeleine,Judo;JUD;,Mixed Team,Gold Medal
0,France,PINOT Margaux,Judo;JUD;,Mixed Team,Gold Medal
1,France,RINER Teddy,Judo;JUD;,Mixed Team,Gold Medal
2,France,da COSTA Steven,Karate;KTE;,Men's Kumite -67kg,Gold Medal
3,Italy,BUSA Luigi,Karate;KTE;,Men's Kumite -75kg,Gold Medal
4,Japan,KIYUNA Ryo,Karate;KTE;,Men's Kata,Gold Medal
5,Islamic Republic of Iran,GANJZADEH Sajad,Karate;KTE;,Men's Kumite +75kg,Gold Medal
6,Bulgaria,GORANOVA Ivet,Karate;KTE;,Women's Kumite -55kg,Gold Medal
7,Serbia,PREKOVIC Jovana,Karate;KTE;,Women's Kumite -61kg,Gold Medal
8,Spain,SANCHEZ JAIME Sandra,Karate;KTE;,Women's Kata,Gold Medal
9,Egypt,ABDELAZIZ Feryal,Karate;KTE;,Women's Kumite +61kg,Gold Medal
10,Germany,WELLBROCK Florian,Marathon Swimming;OWS;,Men's 10km,Gold Medal
11,Brazil,CUNHA Ana Marcela,Marathon Swimming;OWS;,Women's 10km,Gold Medal
12,Great Britain,CHOONG Joseph,Modern Pentathlon;MPN;,Men's Individual,Gold Medal
13,Great Britain,FRENCH Kate,Modern Pentathlon;MPN;,Women's Individual,Gold Medal
14,Israel,ASHRAM Linoy,Rhythmic Gymnastics;GRY;,Individual All-Around,Gold Medal
15,Bulgaria,DYANKOVA Simona,Rhythmic Gymnastics;GRY;,Group All-Around,Gold Medal
16,Bulgaria,KIRYAKOVA Stefani,Rhythmic Gymnastics;GRY;,Group All-Around,Gold Medal
17,Bulgaria,RADUKANOVA Madlen,Rhythmic Gymnastics;GRY;,Group All-Around,Gold Medal
18,Bulgaria,TRAETS Laura,Rhythmic Gymnastics;GRY;,Group All-Around,Gold Medal
19,Bulgaria,ZAFIROVA Erika,Rhythmic Gymnastics;GRY;,Group All-Around,Gold Medal
0,New Zealand,BOND Hamish,Rowing;ROW;,Men's Eight,Gold Medal
1,New Zealand,BOSWORTH Sam,Rowing;ROW;,Men's Eight,Gold Medal
2,New Zealand,BRAKE Michael,Rowing;ROW;,Men's Eight,Gold Medal
3,New Zealand,KIRKHAM Shaun,Rowing;ROW;,Men's Eight,Gold Medal
4,New Zealand,MACDONALD Matt,Rowing;ROW;,Men's Eight,Gold Medal
5,New Zealand,MACKINTOSH Thomas,Rowing;ROW;,Men's Eight,Gold Medal
6,New Zealand,MURRAY Tom,Rowing;ROW;,Men's Eight,Gold Medal
7,New Zealand,WILLIAMSON Daniel,Rowing;ROW;,Men's Eight,Gold Medal
8,New Zealand,WILSON Phillip,Rowing;ROW;,Men's Eight,Gold Medal
9,Croatia,SINKOVIC Martin,Rowing;ROW;,Men's Pair,Gold Medal
10,Croatia,SINKOVIC Valent,Rowing;ROW;,Men's Pair,Gold Medal
11,Australia,HARGREAVES Jack,Rowing;ROW;,Men's Four,Gold Medal
12,Australia,HILL Alexander,Rowing;ROW;,Men's Four,Gold Medal
13,Australia,PURNELL Alexander,Rowing;ROW;,Men's Four,Gold Medal
14,Australia,TURRIN Spencer,Rowing;ROW;,Men's Four,Gold Medal
15,Greece,NTOUSKOS Stefanos,Rowing;ROW;,Men's Single Sculls,Gold Medal
16,France,ANDRODIAS Matthieu,Rowing;ROW;,Men's Double Sculls,Gold Medal
17,France,BOUCHERON Hugo,Rowing;ROW;,Men's Double Sculls,Gold Medal
18,Ireland,Mc CARTHY Fintan,Rowing;ROW;,Lightweight Men's Double Sculls,Gold Medal
19,Ireland,O'DONOVAN Paul,Rowing;ROW;,Lightweight Men's Double Sculls,Gold Medal
0,Netherlands,METSEMAKERS Koen,Rowing;ROW;,Men's Quadruple Sculls,Gold Medal
1,Netherlands,UITTENBOGAARD Lucas Theodoor Dirk,Rowing;ROW;,Men's Quadruple Sculls,Gold Medal
2,Netherlands,WIERSMA Abe,Rowing;ROW;,Men's Quadruple Sculls,Gold Medal
3,Netherlands,WIETEN Tone,Rowing;ROW;,Men's Quadruple Sculls,Gold Medal
4,Canada,GRAINGER Susanne,Rowing;ROW;,Women's Eight,Gold Medal
5,Canada,GRUCHALLA-WESIERSKI Kasia,Rowing;ROW;,Women's Eight,Gold Medal
6,Canada,KIT Kristen,Rowing;ROW;,Women's Eight,Gold Medal
7,Canada,MAILEY Madison,Rowing;ROW;,Women's Eight,Gold Medal
8,Canada,PAYNE Sydney,Rowing;ROW;,Women's Eight,Gold Medal
9,Canada,PROSKE Andrea,Rowing;ROW;,Women's Eight,Gold Medal
10,Canada,ROMAN Lisa,Rowing;ROW;,Women's Eight,Gold Medal
11,Canada,ROPER Christine,Rowing;ROW;,Women's Eight,Gold Medal
12,Canada,WASTENEYS Avalon,Rowing;ROW;,Women's Eight,Gold Medal
13,New Zealand,GOWLER Kerri,Rowing;ROW;,Women's Pair,Gold Medal
14,New Zealand,PRENDERGAST Grace,Rowing;ROW;,Women's Pair,Gold Medal
15,Australia,McINTYRE Annabelle,Rowing;ROW;,Women's Four,Gold Medal
16,Australia,MORRISON Jessica,Rowing;ROW;,Women's Four,Gold Medal
17,Australia,POPA Rosemary,Rowing;ROW;,Women's Four,Gold Medal
18,Australia,STEPHAN Lucy,Rowing;ROW;,Women's Four,Gold Medal
19,New Zealand,TWIGG Emma,Rowing;ROW;,Women's Single Sculls,Gold Medal
0,Romania,BODNAR Ancuta,Rowing;ROW;,Women's Double Sculls,Gold Medal
1,Romania,RADIS Simona,Rowing;ROW;,Women's Double Sculls,Gold Medal
2,Italy,CESARINI Federica,Rowing;ROW;,Lightweight Women's Double Sculls,Gold Medal
3,Italy,RODINI Valentina,Rowing;ROW;,Lightweight Women's Double Sculls,Gold Medal
4,People's Republic of China,CHEN Yunxia,Rowing;ROW;,Women's Quadruple Sculls,Gold Medal
5,People's Republic of China,CUI Xiaotong,Rowing;ROW;,Women's Quadruple Sculls,Gold Medal
6,People's Republic of China,LYU Yang,Rowing;ROW;,Women's Quadruple Sculls,Gold Medal
7,People's Republic of China,ZHANG Ling,Rowing;ROW;,Women's Quadruple Sculls,Gold Medal
8,Fiji,BALEIWAIRIKI Iosefo Masikau,Rugby Sevens;RUG;,Men,Gold Medal
9,Fiji,BOLACA Napolioni,Rugby Sevens;RUG;,Men,Gold Medal
10,Fiji,BOTITU Vilimoni,Rugby Sevens;RUG;,Men,Gold Medal
11,Fiji,DERENALAGI Meli,Rugby Sevens;RUG;,Men,Gold Medal
12,Fiji,MAQALA Sireli,Rugby Sevens;RUG;,Men,Gold Medal
13,Fiji,NACUQU Waisea,Rugby Sevens;RUG;,Men,Gold Medal
14,Fiji,NASOKO Kalione,Rugby Sevens;RUG;,Men,Gold Medal
15,Fiji,RADRADRA Semi,Rugby Sevens;RUG;,Men,Gold Medal
16,Fiji,TUIMABA Aminiasi,Rugby Sevens;RUG;,Men,Gold Medal
17,Fiji,TUIVUAKA Asaeli,Rugby Sevens;RUG;,Men,Gold Medal
18,Fiji,TUWAI Jerry,Rugby Sevens;RUG;,Men,Gold Medal
19,Fiji,VAKURUNABILI Josua,Rugby Sevens;RUG;,Men,Gold Medal
0,Fiji,WAINIQOLO Jiuta,Rugby Sevens;RUG;,Men,Gold Medal
1,New Zealand,BLYDE Michaela,Rugby Sevens;RUG;,Women,Gold Medal
2,New Zealand,BRAZIER Kelly,Rugby Sevens;RUG;,Women,Gold Medal
3,New Zealand,BROUGHTON Gayle,Rugby Sevens;RUG;,Women,Gold Medal
4,New Zealand,FITZPATRICK Theresa,Rugby Sevens;RUG;,Women,Gold Medal
5,New Zealand,FLUHLER Stacey,Rugby Sevens;RUG;,Women,Gold Medal
6,New Zealand,HIRINI Sarah,Rugby Sevens;RUG;,Women,Gold Medal
7,New Zealand,KAKA Shiray,Rugby Sevens;RUG;,Women,Gold Medal
8,New Zealand,NATHAN-WONG Tyla,Rugby Sevens;RUG;,Women,Gold Medal
9,New Zealand,POURI-LANE Risi,Rugby Sevens;RUG;,Women,Gold Medal
10,New Zealand,SAILI Alena,Rugby Sevens;RUG;,Women,Gold Medal
11,New Zealand,TUI Ruby,Rugby Sevens;RUG;,Women,Gold Medal
12,New Zealand,WILLISON Tenika,Rugby Sevens;RUG;,Women,Gold Medal
13,New Zealand,WOODMAN Portia,Rugby Sevens;RUG;,Women,Gold Medal
14,Australia,BELCHER Mathew,Sailing;SAL;,Men's Two Person Dinghy - 470,Gold Medal
15,Australia,RYAN Will,Sailing;SAL;,Men's Two Person Dinghy - 470,Gold Medal
16,Great Britain,BITHELL Stuart,Sailing;SAL;,Men's Skiff - 49er,Gold Medal
17,Great Britain,FLETCHER Dylan,Sailing;SAL;,Men's Skiff - 49er,Gold Medal
18,Great Britain,SCOTT Giles,Sailing;SAL;,Men's One Person Dinghy (Heavyweight) - Finn,Gold Medal
19,Australia,WEARN Matt,Sailing;SAL;,Men's One Person Dinghy - Laser,Gold Medal
0,Netherlands,BADLOE Kiran,Sailing;SAL;,Men's Windsurfer - RS:X,Gold Medal
1,Great Britain,McINTYRE Eilidh,Sailing;SAL;,Women's Two Person Dinghy - 470,Gold Medal
2,Great Britain,MILLS Hannah,Sailing;SAL;,Women's Two Person Dinghy - 470,Gold Medal
3,Brazil,GRAEL Martine,Sailing;SAL;,Women's Skiff - 49er FX,Gold Medal
4,Brazil,KUNZE Kahena,Sailing;SAL;,Women's Skiff - 49er FX,Gold Medal
5,Denmark,RINDOM Anne-Marie,Sailing;SAL;,Women's One Person Dinghy - Laser Radial,Gold Medal
6,People's Republic of China,LU Yunxiu,Sailing;SAL;,Women's Windsurfer - RS:X,Gold Medal
7,Italy,BANTI Caterina,Sailing;SAL;,Mixed Multihull - Nacra 17 Foiling,Gold Medal
8,Italy,TITA Ruggero,Sailing;SAL;,Mixed Multihull - Nacra 17 Foiling,Gold Medal
9,Islamic Republic of Iran,FOROUGHI Javad,Shooting;SHO;,10m Air Pistol Men,Gold Medal
10,United States of America,SHANER William,Shooting;SHO;,10m Air Rifle Men,Gold Medal
11,People's Republic of China,ZHANG Changhong,Shooting;SHO;,50m Rifle 3 Positions Men,Gold Medal
12,France,QUIQUAMPOIX Jean,Shooting;SHO;,25m Rapid Fire Pistol Men,Gold Medal
13,United States of America,HANCOCK Vincent,Shooting;SHO;,Skeet Men,Gold Medal
14,Czech Republic,LIPTAK Jiri,Shooting;SHO;,Trap Men,Gold Medal
15,ROC,BATSARASHKINA Vitalina,Shooting;SHO;,10m Air Pistol Women,Gold Medal
16,People's Republic of China,YANG Qian,Shooting;SHO;,10m Air Rifle Women,Gold Medal
17,Switzerland,CHRISTEN Nina,Shooting;SHO;,50m Rifle 3 Positions Women,Gold Medal
18,United States of America,ENGLISH Amber,Shooting;SHO;,Skeet Women,Gold Medal
19,ROC,BATSARASHKINA Vitalina,Shooting;SHO;,25m Pistol Women,Gold Medal
0,Slovakia,REHAK STEFECEKOVA Zuzana,Shooting;SHO;,Trap Women,Gold Medal
1,People's Republic of China,JIANG Ranxin,Shooting;SHO;,10m Air Pistol Mixed Team,Gold Medal
2,People's Republic of China,PANG Wei,Shooting;SHO;,10m Air Pistol Mixed Team,Gold Medal
3,People's Republic of China,YANG Haoran,Shooting;SHO;,10m Air Rifle Mixed Team,Gold Medal
4,People's Republic of China,YANG Qian,Shooting;SHO;,10m Air Rifle Mixed Team,Gold Medal
5,Spain,FERNANDEZ Alberto,Shooting;SHO;,Trap Mixed Team,Gold Medal
6,Spain,GALVEZ Fatima,Shooting;SHO;,Trap Mixed Team,Gold Medal
7,Australia,PALMER Keegan,Skateboarding;SKB;,Men's Park,Gold Medal
8,Japan,HORIGOME Yuto,Skateboarding;SKB;,Men's Street,Gold Medal
9,Japan,YOSOZUMI Sakura,Skateboarding;SKB;,Women's Park,Gold Medal
10,Japan,NISHIYA Momiji,Skateboarding;SKB;,Women's Street,Gold Medal
11,Spain,GINES LOPEZ Alberto,Sport Climbing;CLB;,Men's Combined,Gold Medal
12,Slovenia,GARNBRET Janja,Sport Climbing;CLB;,Women's Combined,Gold Medal
13,Brazil,FERREIRA Italo,Surfing;SRF;,Men,Gold Medal
14,United States of America,MOORE Carissa,Surfing;SRF;,Women,Gold Medal
15,ROC,RYLOV Evgeny,Swimming;SWM;,Men's 100m Backstroke,Gold Medal
16,United States of America,DRESSEL Caeleb,Swimming;SWM;,Men's 100m Butterfly,Gold Medal
17,Great Britain,PEATY Adam,Swimming;SWM;,Men's 100m Breaststroke,Gold Medal
18,United States of America,DRESSEL Caeleb,Swimming;SWM;,Men's 100m Freestyle,Gold Medal
19,United States of America,FINKE Robert,Swimming;SWM;,Men's 1500m Freestyle,Gold Medal
0,ROC,RYLOV Evgeny,Swimming;SWM;,Men's 200m Backstroke,Gold Medal
1,Hungary,MILAK Kristof,Swimming;SWM;,Men's 200m Butterfly,Gold Medal
2,Australia,STUBBLETY-COOK Izaac,Swimming;SWM;,Men's 200m Breaststroke,Gold Medal
3,Great Britain,DEAN Tom,Swimming;SWM;,Men's 200m Freestyle,Gold Medal
4,People's Republic of China,WANG Shun,Swimming;SWM;,Men's 200m Individual Medley,Gold Medal
5,Tunisia,HAFNAOUI Ahmed,Swimming;SWM;,Men's 400m Freestyle,Gold Medal
6,United States of America,KALISZ Chase,Swimming;SWM;,Men's 400m Individual Medley,Gold Medal
7,United States of America,APPLE Zach,Swimming;SWM;,Men's 4 x 100m Freestyle Relay,Gold Medal
8,United States of America,BECKER Bowen,Swimming;SWM;,Men's 4 x 100m Freestyle Relay,Gold Medal
9,United States of America,CURRY Brooks,Swimming;SWM;,Men's 4 x 100m Freestyle Relay,Gold Medal
10,United States of America,DRESSEL Caeleb,Swimming;SWM;,Men's 4 x 100m Freestyle Relay,Gold Medal
11,United States of America,PIERONI Blake,Swimming;SWM;,Men's 4 x 100m Freestyle Relay,Gold Medal
12,United States of America,ANDREW Michael,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
13,United States of America,APPLE Zach,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
14,United States of America,ARMSTRONG Joseph,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
15,United States of America,DRESSEL Caeleb,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
16,United States of America,MURPHY Ryan,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
17,United States of America,PIERONI Blake,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
18,United States of America,SHIELDS Tom,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
19,United States of America,WILSON Andrew,Swimming;SWM;,Men's 4 x 100m Medley Relay,Gold Medal
0,Great Britain,DEAN Tom,Swimming;SWM;,Men's 4 x 200m Freestyle Relay,Gold Medal
1,Great Britain,GUY James,Swimming;SWM;,Men's 4 x 200m Freestyle Relay,Gold Medal
2,Great Britain,JARVIS Calum,Swimming;SWM;,Men's 4 x 200m Freestyle Relay,Gold Medal
3,Great Britain,RICHARDS Matthew,Swimming;SWM;,Men's 4 x 200m Freestyle Relay,Gold Medal
4,Great Britain,SCOTT Duncan,Swimming;SWM;,Men's 4 x 200m Freestyle Relay,Gold Medal
5,United States of America,DRESSEL Caeleb,Swimming;SWM;,Men's 50m Freestyle,Gold Medal
6,United States of America,FINKE Robert,Swimming;SWM;,Men's 800m Freestyle,Gold Medal
7,Australia,McKEOWN Kaylee,Swimming;SWM;,Women's 100m Backstroke,Gold Medal
8,Canada,MACNEIL Margaret,Swimming;SWM;,Women's 100m Butterfly,Gold Medal
9,United States of America,JACOBY Lydia,Swimming;SWM;,Women's 100m Breaststroke,Gold Medal
10,Australia,McKEON Emma,Swimming;SWM;,Women's 100m Freestyle,Gold Medal
11,United States of America,LEDECKY Kathleen,Swimming;SWM;,Women's 1500m Freestyle,Gold Medal
12,Australia,McKEOWN Kaylee,Swimming;SWM;,Women's 200m Backstroke,Gold Medal
13,People's Republic of China,ZHANG Yufei,Swimming;SWM;,Women's 200m Butterfly,Gold Medal
14,South Africa,SCHOENMAKER Tatjana,Swimming;SWM;,Women's 200m Breaststroke,Gold Medal
